GO_ID	Name	Gene Count	Gene Ratio	Fold Enrichment	p-value	FDR	-log10 FDR	FWER	Associated Genes
GO:0016442	RISC complex	13	0.0029233190915223745	3.7630425005621766	6.273739790797602e-07	1.7184591600880385e-05	4.76486078459697	0.0011857368204607468	AGO1, TNRC6A, AGO4, EIF4E, DDX6, AGO3, TNRC6C, PRKRA, DHX9, DCP2, TNRC6B, XPO5, DICER1
GO:0032839	dendrite cytoplasm	21	0.004722284686305375	3.60222871848687	7.53545707409339e-10	3.164891971119224e-08	7.4996411093899145	1.4242013870036508e-06	WASF1, KIF5C, KIFAP3, ABHD12, MAP2, KIF3B, ZC3H14, SOD1, STAU1, LRRK2, KIF5A, DLG4, GRIK2, CDKL5, HPCA, GRIK3, UHMK1, STAU2, KIF5B, TRAK2, MAP2K1
GO:0099523	presynaptic cytosol	22	0.00494715538565325	3.5135038732039425	6.772561810324197e-10	3.02377977840089e-08	7.519449841645688	1.2800141821512731e-06	CALM3, SYT1, CALM2, CALM1, BAIAP2, CALB1, C9orf72, USP14, SENP7, FUS, GDI1, STXBP1, ANKS1B, SENP5, LRRK2, HTT, ARL6IP5, PRKCG, SUMO1, PRKCB, SH3GL2, PIAS1
GO:1904115	axon cytoplasm	41	0.009219698673262874	2.9670142792894088	2.933853402125285e-13	2.1096714460604435e-11	10.675785175163622	5.544982930016788e-10	KIF5C, NEFL, AGTPBP1, KIF3B, DST, ZC3H14, RAB21, DYNLL1, DTNBP1, SOD1, AP3B2, KIF21A, MAPK8IP3, AP3S2, AGBL4, SPAST, KIF1A, SPG7, NETO1, NDEL1, AP3B1, UCHL1, OPA1, PAFAH1B1, DLG2, RAB27B, BLOC1S6, AP3M2, AP3S1, SYBU, ACTR10, DYNC1H1, KIF1B, KIF5B, MAPT, ARL8B, ARMCX3, MAP1A, FBXW11, KIF5A, KIF3A
GO:0099634	postsynaptic specialization membrane	22	0.00494715538565325	2.9111889235118382	1.6201768700374412e-07	5.087623663509677e-06	5.293485021358439	0.0003062134284370764	GABRB3, NLGN2, CDH10, GABRA6, NLGN4Y, KCND3, NLGN4X, EPHA7, LRRTM2, GLRA2, GABRA3, GABRB2, GABRA4, KCNB1, GABRA5, GABRG2, NLGN1, SLC12A5, KCND2, GABRA2, GABRB1, GABRA1
GO:0099524	postsynaptic cytosol	18	0.00404767258826175	2.874684987166862	2.880355550718289e-06	7.069963624490345e-05	4.150582820676051	0.0054438719908575664	SUMO1, KIF5C, SENP5, CALM3, UBE3A, CALB1, SYT1, HTT, GNAQ, HOMER1, KIF5B, SENP7, FUS, PLCB1, KIF5A, BAIAP2, PIAS1, PRKCG
GO:0043198	dendritic shaft	25	0.005621767483696874	2.7568076927195437	1.0872676064946763e-07	3.482941993686336e-06	5.458053758396118	0.00020549357762749383	NLGN2, KIRREL3, GABBR1, HCN1, GRM7, BAIAP2, SYNDIG1, MAP2, SYNGAP1, CNIH3, GRM5, APP, ZNF804A, NEGR1, CRIPT, GRIA1, SEZ6, PRKAR2B, ZMYND8, EPHA4, FUBP3, NSF, SLC1A1, STAU2, MAP1A
GO:0005875	microtubule associated complex	22	0.00494715538565325	2.7538273600787657	6.506417836172768e-07	1.7567328157666473e-05	4.755294286007179	0.001229712971036653	MAP1B, PEA15, APPBP2, DYNLL2, FNTB, MAP2, RANBP9, GABARAP, DYNLL1, EML1, DCX, STAU1, NDEL1, PAFAH1B1, SHTN1, FNTA, RABGAP1, MAP7, FBXW11, MAP4, MAP1A, DCTN1
GO:0032590	dendrite membrane	19	0.004272543287609625	2.7499156734877443	3.922643328568732e-06	9.384551760753041e-05	4.0275864659814165	0.007413795890994903	HCN1, GABRA6, THY1, AKAP5, LAMP5, APP, GABRA3, GABRA4, GRIA1, KCNB1, GABRG3, GABRA5, GABRG2, SGCE, CACNG8, SLC12A5, HPCA, GABRA2, GABRA1
GO:0060076	excitatory synapse	20	0.0044974139869575	2.72437466104049	2.6707206614040593e-06	6.641660592175883e-05	4.177723321858895	0.005047662050053672	SYT1, NLGN2, SYT11, NLGN4X, BAIAP2, SYNDIG1, BSN, CYFIP1, AKAP5, LRRTM2, NETO1, CACNG3, EIF4E, DLG4, GRIA1, PDE4B, NLGN1, PALLD, GRIA2, FMR1
GO:0098982	GABA-ergic synapse	64	0.014391724758263998	2.670378046136985	1.4311830777826586e-16	1.3524680085046124e-14	13.86887299897129	2.704936017009225e-13	GABRB3, CLCN3, PCLO, GUCY1A1, SLC4A10, KIF5C, EFNA5, NLGN2, IGSF9B, GABBR1, CDH10, CACNA2D1, PCDH17, CNTNAP2, PLCB1, ERC2, KCND3, NRXN1, NLGN4X, RPS27, GPHN, BSN, GAP43, CALB1, GABARAP, LHFPL4, SLC6A11, LRRTM2, ERBB4, GLRA2, SH3KBP1, ARHGEF9, CLSTN3, LAMP5, IQSEC3, GRID1, FUS, GAD1, CNTN5, ARFGEF2, GABRA3, GABRB2, ATP2B3, GLRB, GABRA4, CACNA2D3, GABRG3, SV2A, PTPRO, AP3M2, GABRA5, GABRG2, SLC6A17, NLGN1, CNRIP1, NSF, PIK3C3, LRFN5, MKLN1, ATP2B2, KCND2, GABRA2, GABRB1, GABRA1
GO:0098685	Schaffer collateral - CA1 synapse	57	0.012817629862828873	2.639919046548235	1.2989028342941749e-14	1.0228859820066627e-12	11.990172773076713	2.4549263568159905e-11	PRKAR1B, ARHGDIA, NEFL, PTPRD, CALM3, IQSEC2, ACTB, APBA1, AKAP12, GABBR1, SYN1, APBA2, BAIAP2, FBXL20, BSN, RALA, EPHA7, SLC16A7, ITPR1, INA, ADRB1, DTNBP1, RAP2A, LRRTM2, GRM5, PPP3R1, ATG5, NTNG1, ROCK1, PLPPR4, SYNGR1, CTNNB1, CASK, PPP3CA, SYN2, NETO1, CACNG3, EEA1, ADCY1, RAB11A, GRIA1, ACTG1, PAFAH1B1, FYN, EPHA4, DCC, MYO5C, SNX27, TNR, PCDH8, SLC1A1, PRKCI, LRRC4C, MAPK9, GRIA2, GABRB1, CDH11
GO:0035869	ciliary transition zone	29	0.006521250281088374	2.6335621723391403	4.364496100573708e-08	1.527573635200798e-06	5.815997845837879	8.248897630084308e-05	BBS9, KIFAP3, TTBK2, CPLANE1, B9D1, CFAP36, TMEM231, CEP290, IFT122, SEPTIN2, CC2D2A, ARL13B, IQCB1, TCTN1, TRAF3IP1, CCDC66, INTU, PCM1, TCTN2, CCSAP, AHI1, CDKL1, NPHP1, TMEM67, DYNC2LI1, BBS2, RPGRIP1L, NPHP4, SPATA7
GO:0043197	dendritic spine	84	0.0188891387452215	2.628653389166095	1.0824202779253309e-20	1.2033966619287503e-18	17.919591197521058	2.0457743252788755e-17	ALS2, GRIA4, SRGAP2C, GABBR1, DNM3, ACTN2, OPHN1, ARHGAP44, KIF3B, PSD, CDK5R1, RPH3A, PPP3CA, DLG4, GRIA1, CFL1, SRGAP2, KCNN2, CTTNBP2, FRMPD4, DIP2A, SLC8A3, FMR1, GABRA1, MAP1B, GABRB3, ABHD17C, APBA1, KCND3, BAIAP2, SYNPO, DTNBP1, AKAP5, FXR1, ABI2, ARFGEF2, ANKS1B, CAMK2A, SEZ6, SHANK2, PTEN, PRKAR2B, EPHA4, PTPRO, MYH10, FARP1, SLC1A1, GPM6A, TENM2, STRN, SEPTIN11, SYNDIG1, RGS14, GRM5, GABRB2, NEGR1, CRIPT, HOMER1, ZMYND8, PPFIA2, PDE4B, GABRG2, NLGN1, MAPT, KCND2, GRIA2, PRRT2, SYT11, APBA2, DGKI, GPHN, ARHGAP32, KCNA4, GRID1, APP, ZNF804A, ASIC2, CPEB4, ITSN1, NTRK2, GRIA3, SIPA1L1, TANC2, GRID2
