ID1	ID2	Name1	Name2	Separation	ATC_Codes1	ATC_Codes2	Reported_Interaction	Reported_Combination
DB00773	DB01365	Etoposide	Mephentermine	1.5	L	C	False	False
DB00694	DB01365	Daunorubicin	Mephentermine	1.5	L	C	False	False
DB04599	DB03880	Aniracetam	Batimastat	1.5	N		False	False
DB00380	DB01365	Dexrazoxane	Mephentermine	1.5	V	C	False	False
DB04149	DB00935	(R)-Rolipram	Oxymetazoline	1.398989898989899		R, S	False	False
DB04149	DB00692	(R)-Rolipram	Phentolamine	1.375		C, V	False	False
DB04149	DB09202	(R)-Rolipram	Cirazoline	1.375			False	False
DB00694	DB00935	Daunorubicin	Oxymetazoline	1.3080808080808082	L	R, S	False	False
DB00773	DB00935	Etoposide	Oxymetazoline	1.3080808080808082	L	R, S	False	False
DB00380	DB00935	Dexrazoxane	Oxymetazoline	1.3080808080808082	V	R, S	False	False
DB07080	DB04599	TO-901317	Aniracetam	1.2999999999999998		N	False	False
DB04149	DB00575	(R)-Rolipram	Clonidine	1.2916666666666665		C, N, S	False	False
DB00694	DB00575	Daunorubicin	Clonidine	1.2916666666666665	L	C, N, S	False	False
DB00380	DB00575	Dexrazoxane	Clonidine	1.2916666666666665	V	C, N, S	False	False
DB00773	DB00575	Etoposide	Clonidine	1.2916666666666665	L	C, N, S	False	False
DB07863	DB00935	2-chloro-5-nitro-N-phenylbenzamide	Oxymetazoline	1.277777777777778		R, S	False	False
DB02659	DB09202	Cholic Acid	Cirazoline	1.275952380952381	A		False	False
DB00692	DB02659	Phentolamine	Cholic Acid	1.275952380952381	C, V	A	False	False
DB08175	DB04599	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Aniracetam	1.2619047619047619		N	False	False
DB04599	DB00170	Aniracetam	Menadione	1.2571428571428571	N	B	False	False
DB01622	DB03880	Thioproperazine	Batimastat	1.25	N		False	False
DB07863	DB00575	2-chloro-5-nitro-N-phenylbenzamide	Clonidine	1.25		C, N, S	False	False
DB00773	DB00248	Etoposide	Cabergoline	1.2431818181818184	L	G, N	False	False
DB00380	DB00248	Dexrazoxane	Cabergoline	1.2431818181818184	V	G, N	False	False
DB00694	DB00248	Daunorubicin	Cabergoline	1.2431818181818184	L	G, N	False	False
DB00694	DB00925	Daunorubicin	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB00773	DB00925	Etoposide	Phenoxybenzamine	1.2374999999999998	L	C	False	False
DB04149	DB00925	(R)-Rolipram	Phenoxybenzamine	1.2374999999999998		C	False	False
DB00380	DB00925	Dexrazoxane	Phenoxybenzamine	1.2374999999999998	V	C	False	False
DB00694	DB00598	Daunorubicin	Labetalol	1.2333333333333334	L	C	False	False
DB00773	DB00598	Etoposide	Labetalol	1.2333333333333334	L	C	False	False
DB00380	DB00598	Dexrazoxane	Labetalol	1.2333333333333334	V	C	False	False
DB07080	DB00248	TO-901317	Cabergoline	1.2326923076923075		G, N	False	False
DB05266	DB00692	Ibudilast	Phentolamine	1.2305555555555554	R	C, V	True	False
DB05266	DB09202	Ibudilast	Cirazoline	1.2305555555555554	R		False	False
DB15399	DB00935	BMS-754807	Oxymetazoline	1.2171717171717173		R, S	False	False
DB00380	DB01200	Dexrazoxane	Bromocriptine	1.2166666666666663	V	G, N	False	False
DB04149	DB01200	(R)-Rolipram	Bromocriptine	1.2166666666666663		G, N	False	False
DB00773	DB01200	Etoposide	Bromocriptine	1.2166666666666663	L	G, N	False	False
DB00694	DB01200	Daunorubicin	Bromocriptine	1.2166666666666663	L	G, N	False	False
DB15399	DB00692	BMS-754807	Phentolamine	1.2083333333333335		C, V	False	False
DB15399	DB09202	BMS-754807	Cirazoline	1.2083333333333335			False	False
DB07080	DB01200	TO-901317	Bromocriptine	1.208333333333333		G, N	False	False
DB00575	DB02659	Clonidine	Cholic Acid	1.205026455026455	C, N, S	A	False	False
DB07863	DB01200	2-chloro-5-nitro-N-phenylbenzamide	Bromocriptine	1.202380952380952		G, N	False	False
DB04149	DB00248	(R)-Rolipram	Cabergoline	1.197727272727273		G, N	False	False
DB04599	DB01388	Aniracetam	Mibefradil	1.193939393939394	N	C	False	False
DB08175	DB00248	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Cabergoline	1.1931159420289856		G, N	False	False
DB00694	DB00368	Daunorubicin	Norepinephrine	1.1904761904761907	L	C	False	False
DB00380	DB00368	Dexrazoxane	Norepinephrine	1.1904761904761907	V	C	False	False
DB00773	DB00368	Etoposide	Norepinephrine	1.1904761904761907	L	C	False	False
DB07863	DB00248	2-chloro-5-nitro-N-phenylbenzamide	Cabergoline	1.1858695652173912		G, N	False	False
DB04149	DB02659	(R)-Rolipram	Cholic Acid	1.1853002070393375		A	False	False
DB08175	DB01200	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Bromocriptine	1.1785714285714284		G, N	False	False
DB08895	DB00935	Tofacitinib	Oxymetazoline	1.1752136752136753	L	R, S	False	False
DB08877	DB00935	Ruxolitinib	Oxymetazoline	1.1752136752136753	L	R, S	False	False
DB15399	DB00575	BMS-754807	Clonidine	1.1666666666666665		C, N, S	False	False
DB07997	DB04599	N-[2-(METHYLAMINO)ETHYL]-5-ISOQUINOLINESULFONAMIDE	Aniracetam	1.1666666666666665		N	False	False
DB09073	DB04599	Palbociclib	Aniracetam	1.1666666666666665	L	N	False	False
DB04599	DB07996	Aniracetam	5-(2-methylpiperazine-1-sulfonyl)isoquinoline	1.1666666666666665	N		False	False
DB15399	DB01200	BMS-754807	Bromocriptine	1.1666666666666665		G, N	False	False
DB08175	DB00875	(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID	Flupentixol	1.162878787878788		N	False	False
DB04599	DB02659	Aniracetam	Cholic Acid	1.1609523809523807	N	A	False	False
DB07080	DB00875	TO-901317	Flupentixol	1.1607142857142856		N	False	False
DB07863	DB09202	2-chloro-5-nitro-N-phenylbenzamide	Cirazoline	1.1607142857142856			False	False
DB07863	DB00692	2-chloro-5-nitro-N-phenylbenzamide	Phentolamine	1.1607142857142856		C, V	False	False
DB00773	DB00622	Etoposide	Nicardipine	1.1529411764705884	L	C	False	False
DB00380	DB00622	Dexrazoxane	Nicardipine	1.1529411764705884	V	C	False	False
DB00694	DB00622	Daunorubicin	Nicardipine	1.1529411764705884	L	C	False	False
DB00694	DB00800	Daunorubicin	Fenoldopam	1.15	L	C	False	False
DB04149	DB00170	(R)-Rolipram	Menadione	1.15		B	False	False
DB00380	DB00800	Dexrazoxane	Fenoldopam	1.15	V	C	False	False
